id,name,Trim,created_at,updated_at,Check,Insurance Available,,,,,,,
70,Brown University,Brown University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1280,Bryan College,Bryan College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1775,Bryan College of Health Sciences,Bryan College of Health Sciences,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1322,Bryant and Stratton College,Bryant and Stratton College,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
640,Bryant University,Bryant University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1651,Bryn Athyn College,Bryn Athyn College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
274,Bryn Mawr College,Bryn Mawr College,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
220,Bucknell University,Bucknell University,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1052,Buena Vista University,Buena Vista University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
335,Buffalo State College,Buffalo State College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
383,Butler University,Butler University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1797,Cabarrus College of Health Sciences,Cabarrus College of Health Sciences,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1185,Cabrini University,Cabrini University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1500,Cairn University,Cairn University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1191,Caldwell University,Caldwell University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
763,California Baptist University,California Baptist University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
582,California College of the Arts,California College of the Arts,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
701,California Institute of Integral Studies,California Institute of Integral Studies,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
54,California Institute of Technology,California Institute of Technology,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
439,California Institute of the Arts,California Institute of the Arts,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
626,California Lutheran University,California Lutheran University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
120,"California Polytechnic State University, San Luis Obispo","California Polytechnic State University, San Luis Obispo",6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
175,"California State Polytechnic University, Pomona","California State Polytechnic University, Pomona",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
516,California State University Channel Islands,California State University Channel Islands,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
880,California State University Maritime Academy,California State University Maritime Academy,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
332,California State University San Marcos,California State University San Marcos,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
395,California State University Stanislaus,California State University Stanislaus,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
501,"California State University, Bakersfield","California State University, Bakersfield",6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
192,"California State University, Chico","California State University, Chico",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
291,"California State University, Dominguez Hills","California State University, Dominguez Hills",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
399,"California State University, East Bay","California State University, East Bay",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
238,"California State University, Fresno","California State University, Fresno",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
108,"California State University, Fullerton","California State University, Fullerton",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
148,"California State University, Long Beach","California State University, Long Beach",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
236,"California State University, Los Angeles","California State University, Los Angeles",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
562,"California State University, Monterey Bay","California State University, Monterey Bay",6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
109,"California State University, Northridge","California State University, Northridge",6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
174,"California State University, Sacramento","California State University, Sacramento",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
304,"California State University, San Bernardino","California State University, San Bernardino",6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1110,California University of Pennsylvania,California University of Pennsylvania,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1380,California Western School of Law,California Western School of Law,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1507,Calumet College of St. Joseph,Calumet College of St. Joseph,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1670,Calvary University,Calvary University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
225,Calvin College,Calvin College,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1183,Cambridge College,Cambridge College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
994,Cameron University,Cameron University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
583,Campbell University,Campbell University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1073,Campbellsville University,Campbellsville University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
644,Canisius College,Canisius College,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
599,Capital University,Capital University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1212,Capitol Technology University,Capitol Technology University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1161,Cardinal Stritch University,Cardinal Stritch University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
181,Carleton College,Carleton College,6/13/19 4:00,6/12/19 4:00,No,No,,,,,,,
1822,Carlos Albizu University,Carlos Albizu University,8/1/20 0:34,8/1/20 0:34,#N/A,No,,,,,,,
1329,Carlow University,Carlow University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
19,Carnegie Mellon University,Carnegie Mellon University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
946,Carroll College,Carroll College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
959,Carroll University,Carroll University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
597,Carson-Newman University,Carson-Newman University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
663,Carthage College,Carthage College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
107,Case Western Reserve University,Case Western Reserve University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
1349,Castleton University,Castleton University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1418,Catawba College,Catawba College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1706,Catholic Theological Union,Catholic Theological Union,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1368,Cazenovia College,Cazenovia College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1117,Cedar Crest College,Cedar Crest College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
500,Cedarville University,Cedarville University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1034,Centenary College of Louisiana,Centenary College of Louisiana,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1536,Centenary University,Centenary University,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1566,Central Baptist College,Central Baptist College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1537,Central Christian College of Kansas,Central Christian College of Kansas,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1622,Central Christian College of the Bible,Central Christian College of the Bible,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
1050,Central College,Central College,6/13/19 4:00,6/12/19 4:00,#N/A,No,,,,,,,
313,Central Connecticut State University,Central Connecticut State University,6/13/19 4:00,6/12/19 4:00,Yes,Yes,,,,,,,
